URL,Size,OutLinks,ContentType,,
https://www.c-span.org/search/?personid%5B%5D=84765&searchtype=Videos&tagid%5B%5D=334,82039bytes,98,text/html,,
https://www.c-span.org/person/?terrybranstad,39877bytes,89,text/html,,
https://www.c-span.org/MyC-SPAN/login/?redir=%2Fsearch%2F%3Fpersonid%255B%255D%3D84765%26searchtype%3DVideos%26seriesid%255B%255D%3D91%26sort%3DMost%252BRecent%252BAiring,36495bytes,57,text/html,,
https://www.c-span.org/search/?bioid%5B%5D=699874&personid%5B%5D=86033&searchtype=Videos,52820bytes,61,text/html,,
https://www.c-span.org/search/?edate=12%2F31%2F2016&personid%5B%5D=86033&sdate=01%2F01%2F2016&searchtype=Videos&sort=Most%20Popular,53053bytes,61,text/html,,
https://www.c-span.org/search/?personid%5B%5D=33102&searchtype=Videos,57851bytes,65,text/html,,
https://www.c-span.org/search/?personid%5B%5D=86033&searchtype=Videos,55792bytes,63,text/html,,
https://www.c-span.org/MyC-SPAN/login/?redir=%2Fperson%2F%3Fdarrellcastle,36256bytes,56,text/html,,
https://www.c-span.org/search/?bioid%5B%5D=77863&personid%5B%5D=86033&searchtype=Videos,53328bytes,59,text/html,,
https://www.c-span.org/search/?personid%5B%5D=86033&searchtype=Videos&tagid%5B%5D=389,54738bytes,62,text/html,,
https://www.c-span.org/person/?jamesnclymer,37376bytes,82,text/html,,
https://www.c-span.org/search/?personid%5B%5D=86033&searchtype=Videos&sort=Newest,55808bytes,63,text/html,,
https://www.c-span.org/MyC-SPAN/login/?redir=%2Fsearch%2F%3Fpersonid%255B%255D%3D1007174%26searchtype%3DVideos%26seriesid%255B%255D%3D91%26sort%3DMost%252BRecent%252BAiring,36501bytes,57,text/html,,
https://www.c-span.org/search/?bioid%5B%5D=703520&personid%5B%5D=104324&searchtype=Videos,52679bytes,61,text/html,,
https://www.c-span.org/MyC-SPAN/login/?redir=%2Fperson%2F%3Fdavidmcmullin,36256bytes,56,text/html,,
